Topic,Question,VariableName,Responses,Year,Type,DisplayOrder
Mental Illness and Stigma,"[Prologue] People are generally caring and sympathetic to people with mental illness. Do you--agree slightly or strongly, or disagree slightly or strongly?",MISPHLPF,Read only if necessary:  1=Agree strongly  2=Agree slightly  3=Neither agree nor disagree  4=Disagree slightly  5=Disagree strongly  7=DK/NS  9=Refused,2007,Module Question,195
Sexual Violence,"[Prologue: Now I'd like to ask you some questions about different types of physical and/or sexual violence or other unwanted sexual experiences. This information will allow us to better understand the problem of violence and unwanted sexual contact amy help others in the future. This is a sensitive topic. Some people may feel uncomfortable with these questions. At the end of this section, I will give you phone numbers for organizations thata can provide information and referral for these issues. Please keep in mind that if you are not in a safe place you can ask me to skip any question you do not want to answer.] Are you in a safe place to answer these questions?",SVSAFE,1=Yes  2=No,2007,Module Question,196
Sexual Violence,"[Prologue: My first questions are about unwanted sexual experiences you may have had.] In the past 12 months, has anyone touched sexual parts of your body after you said or showed that you didn't want them to or without your consent (for example being groped or fondled)?",SVSEXTCH,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,197
Sexual Violence,"[Prologue] In the past 12 months, has anyone exposed you to unwanted sexual situations that did not involve physical touching? Examples include things like sexual harassment, someone exposing sexual parts of their body to you, being seen by a peeping Tom, or someone making you look at sexual photos or movies? (Variable name change)",SVNOTCH2,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,198
Sexual Violence,[Prologue: See Questionnaire] Has anyone EVER had sex with you after you said or showed that you didn't want them to or without your consent?,SVEHDSEX,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,199
Sexual Violence,[Prologue] Has this happended in the past 12 months? (Anyone ever had sex with you after you said or showed that you didn't want them to or without your consent.),SVHDSX12,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,200
Sexual Violence,"[Prologue: See Questionnaire] Has anyone EVER ATTEMPTED to have sex with you after you said or showed that you didn't want to or without your consent, BUT SEX DID NOT OCCUR?",SVEANOSX,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,201
Sexual Violence,"[Prologue] Has this happened in the past 12 months? (Anyone ever attempted to have sex with you after you said or showed that you didn't want to or without your consent, but sex did not occur.)",SVNOSX12,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,202
Sexual Violence,[Prologue] Think about the time of the most recent incident involving a person who had sex with you -or- attempted to have sex with you after you said or showed that you didn't want to or without your consent? What was that person's relationship to you? (Variable name change),SVRELAT2,Do not read:    01=Current boyfriend/girlfriend  02=Former boyfriend/girlfriend  03=Fiance  04=Spouse or live-in partner  05=Former spouse or former live-in partner  06=Someone you were dating  07=First date  08=Friend  09=Acquaintance  10=A person known,2007,Module Question,203
Sexual Violence,[Prologue: See Questionnaire] Was the person who did this male or female?,SVGENDER,1=Male  2=Female  7=DK/NS  9=Refused,2007,Module Question,204
Intimate Partner Violence,[Prologue: See Questionnaire] Are you in a safe place to answer these questions?,IPVSAFE,1=Yes  2=No,2007,Module Question,205
Intimate Partner Violence,"[Prologue: See Questionnaire] Has an intimate partner EVER THREATENED you with physical violence? This includes threatening to hit, slap, push, kick, or physically hurt you in any way.",IPVTHRAT,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,206
Intimate Partner Violence,"[Prologue] Has an intimate partner EVER ATTEMPTED physical violence against you? This includes times when they tried to hit, slap, push, kick, or otherwise hurt you, BUT THEY WERE NOT ABLE TO. (Variable name change)",IPVPHYV2,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,207
Intimate Partner Violence,"[Prologue]  Has an intimate partner EVER hit, slapped, pushed, kicked, or physically hurt you in any way?",IPVPHHRT,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,208
Intimate Partner Violence,[Prologue: See questionnaire] Have you EVER experienced any unwanted sex by a current or former intimate partner?,IPVUWSEX,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,209
Intimate Partner Violence,"[Prologue: See Questionnaire] In the past 12 months, have you experienced any physical violence or had unwanted sex with an intimate partner?",IPVPVL12,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,210
Intimate Partner Violence,"[Prologue: See Questionnaire] In the past 12 months, have you had any physical injuries, such as bruises, cuts, scrapes, black eyes, vaginal or anal tears, or broken bones, as a result of this physical violence or unwanted sex?",IPVSXINJ,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,211
Intimate Partner Violence,"[Prologue: See Questionnaire] At the time of the most recent incident involving an intimate partner who was physically violent--or--had unwanted sex with you, what was that person's relationship to you? (Variable name change)",IPVRELT2,Do not read:  01=Current boyfriend  02=Current girlfriend  03=Former boyfriend  04=Former girlfriend  05=Fiance (male)  06=Fiance (female)  07=Male you were dating  08=Female you were dating  09=Female first date  10=Male first date  11=Husband or male li,2007,Module Question,212
Demographics,Is your annual household income from all sources:,INCOME2,"04=Less than $25,000   ($20,000 to less than $25,000)   03=Less than $20,000   ($15,000 to less than $20,000)   02=Less than $15,000   ($10,000 to less than $15,000)   01=Less than $10,000   05=Less than $35,000   ($25,000 to less than $35,000)   06=Less",2006,Core Question,34
General Preparedness,"[Prologue: The next series of questions asks about large-scale disasters or emergencies. By large-scale disaster or emergency we mean any event that leaves you isolated in your home or displaces you from your home for at least 3 days. This might include natural disasters such as hurricanes, tornados, floods, and ice storms, or man-made disasters such as explosions, terrorist events, or blackouts.] How prepared do you feel your household is to handle a large-scale disaster or emergency? Would you say...",GPWELPR2,1=Well-prepared  2=Somewhat prepared  3=Not prepared at all  7=DK/NS  9=Refused,2007,Module Question,213
General Preparedness,"[Prologue] Does your household have a disaster evacuation plan, a written plan for how you will leave your home, in case of a large-scale disaster or emergency that requires evacuation?",GPVACPLN,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,214
Diabetes,Have you ever had any sores or irritations on your feet that took more than four weeks to heal?,FEETSORE,1=Yes  2=No  7=DK/NS  9=Refused,2005,Module Question,84
General Preparedness,[Prologue] Does your household have a 3-day supply of non-perishable food for everyone who lives there? By non-perishable we mean food that does not require refrigeration or cooking.,GP3DYFOD,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,216
General Preparedness,[Prologue] Does your household have a 3-day supply of prescription medication for each person who takes prescribed medicines?,GP3DYPRS,1=Yes  2=No  3=No one in household requires prescribed medicine  7=DK/NS  9=Refused,2007,Module Question,217
General Preparedness,[Prologue] Does your household have a working battery operated radio and working batteries for your use if the electricity is out?,GPBATRAD,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,218
General Preparedness,[Prologue] Does your household have a working flashlight and working batteries for your use if the electricity is out?,GPFLSLIT,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,219
General Preparedness,"[Prologue] If public authorities announced a mandatory evacuation from your community due to a large-scale disaster or emergency, would you evacuate?",GPMNDEVC,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,220
General Preparedness,[Prologue] What would be the main reason you might not evacuate if asked to do so?,GPNOTEVC,Read only if necessary:  01=Lack of transportation  02=Lack of trust in public officials  03=Concern about leaving property behind  04=Concern about personal safety  05=Concern about family safety  06=Concern about leaving pets  07=Other  77=DK/NS  99=Ref,2007,Module Question,221
General Preparedness,"[Prologue] In a large-scale disaster or emergency, what would be your main method of communicating with relatives and friends?",GPEMRCOM,Read only if necessary:  1=Regular home telephones  2=Cell phones  3=Email  4=Pager  5=2-way radios  6=Other  7=DK/NS  9=Refused,2007,Module Question,222
General Preparedness,[Prologue] What would be your main method of getting information from authorities in a large-scale disaster or emergency?,GPEMRINF,Read only if necessary:  1=Television  2=Radio  3=Internet  4=Print media  5=Neighbors  6=Other  7=DK/NS  9=Refused,2007,Module Question,223
Health Status/Healthy Days,Would you say that in general your health is---,GENHLTH,1=Excellent  2=Very good  3=Good  4=Fair  5=Poor  7=DK/NS  9=Refused,2006,Core Question,1
Health Status/Healthy Days,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good? (Moved to Healthy Days in 2004)",PHYSHLTH,__ __=Number of days  88=None  77=DK/NS  99=Refused,2006,Core Question,2
Health Status/Healthy Days,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good? (Moved to Healthy Days in 2004)",MENTHLTH,__ __=Number of days  88=None  77=DK/NS  99=Refused,2006,Core Question,3
Health Status/Healthy Days,"During the past 30 days, for about how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation? (Moved to Healthy Days in 2004)",POORHLTH,__ __=Number of days  88=None  77=DK/NS  99=Refused,2006,Core Question,4
Health Care Coverage/Access,"Do you have any kind of health care coverage, including health insurance, prepaid plans such as HMOs, or government plans such as Medicare?",HLTHPLAN,1=Yes  2=No  7=DK/NS  9=Refused,2006,Core Question,5
Health Care Coverage/Access,"Do you have one person you think of as your personal doctor or health care provider? (If ""No"" ask: ""Is there more than one, or is there no person who you think of as your personal doctor or health care provider?"").",PERSDOC2,"1=Yes, only one  2=More than one  3=No  7=DK/NS  9=Refused",2006,Core Question,6
Health Care Coverage/Access,Was there a time in the past 12 months when you needed to see a doctor but could not because of the cost?,MEDCOST,1=Yes  2=No  7=DK/NS  9=Refused,2006,Core Question,7
Health Care Coverage/Access,"About how long has it been since you last visited a doctor for a routine checkup? A routine checkup is a general physical exam, not an exam for a specific injury, illness, or condition.",CHECKUP,1=Within past year (anytime less than 12 months ago)  2=Within past 2 years (1 year but less than 2 years ago)  3=Within past 5 years (2 years but less than 5 years ago)   4=5 or more years ago  7=DK/NS  8=Never  9=Refused,2006,Core Question,8
